drug_name,count,generic_name,atc_code,confidence,method
zy-10 forte,6,,,,
ezoleta tablet,5,,,,
hadubamol,5,,,,
mỡ tra mắt không chất bảo quản hydramed night sensitive,5,,,,
heradrea,5,,,,
coversyl plus,5,,,,
happyvisc,5,,,,
sumamigren,5,,,,
sunbrella spf30,5,,,,
xịt symbicort rapihaler,5,,,,
neilmed sinus rinse pediatric starter kit,5,,,,
prolandex 60,5,,,,
viên nhuận tràng op.liz,5,,,,
feleilor,5,,,,
brilinta tab,5,,,,
carbidopa/levodopa tablets,5,,,,
lovarem tablets,4,,,,
bbcelat,4,,,,
viên nang sâm nhung ht,4,,,,
padolcure,4,,,,
nifehexal 30 la,4,,,,
aticizal,4,,,,
xịt combiwave fb 200 (200mcg,4,,,,
mibelet,4,,,,
bổ gan tiêu độc livsin-94,4,,,,
co-aprovel,4,,,,
imidu,4,,,,
xarelto tab,4,,,,
calvin plus,4,,,,
co-diovan,4,,,,
neilmed sinus rinse 50 sachets,4,,,,
thuốc mỡ potamus,4,,,,
leracet 500mg film-coated tablets,4,,,,
pharti derm dermatologique egf moisture cream,4,,,,
flixotide evohaler,4,,,,
coversyl tab,4,,,,
arginin av,4,,,,
dermalight active illuminating cream,4,,,,
abr complex restoring cream,3,,,,
colocol suppo 150,3,,,,
xịt genituk,3,,,,
xịt novahexin,3,,,,
avantomega,3,,,,
crestor tab,3,,,,
xịt zinkast,3,,,,
azaduo,3,,,,
xịt capsicin gel,3,,,,
quelept,3,,,,
chorlatcyn cao mật lợn khô,3,,,,
đặt âm đạo salgad,3,,,,
pms -ursodiol c,3,,,,
braiporin syrup,3,,,,
biseptol 480,3,,,,
neilmed sinus rinse 10 sachets,3,,,,
buvamed,3,,,,
neso,3,,,,
soravar,2,,,,
vagsur,2,,,,
vietlife bình an,2,,,,
/lọ dung dịch xịt mũi sterimar blocked nose baby,2,,,,
đặt âm đạo anbaescin,2,,,,
/lọ fibrofin-145,2,,,,
khang minh tỷ viêm nang,2,,,,
"dutabit 0,5",2,,,,
viên hộ tâm opcardio,2,,,,
/lọ desbebe,2,,,,
irbevel,2,,,,
nén sủi,2,,,,
femaplex,2,,,,
xịt dryches,2,,,,
agimstan-h,2,,,,
acriptega,2,,,,
acc,2,,,,
breztri aerosphere,2,,,,
đặt âm đạo zolmed,2,,,,
xịt ausmuco 750v,2,,,,
nén sủi alphadaze -,2,,,,
racesec,2,,,,
revole,2,,,,
"biviantac (800,4 mg",2,,,,
soliqua solostar,2,,,,
meko inh,2,,,,
azlobal 4,2,,,,
sủi abbsin 200,2,,,,
basethyrox,2,,,,
coveram 5-5 tab,2,,,,
fudophos,2,,,,
bilclamos 312.5mg (250mg,2,,,,
xịt spinolac fort,2,,,,
"atihytalox plus (600mg + 599,8mg",2,,,,
imdur tab,2,,,,
natcorig,2,,,,
fucipa 15g(1) túyb cystin-b6 boston 500 mg,2,,,,
roticox,2,,,,
thụt táo bón endolax kids,2,,,,
thụt táo bón endolax,2,,,,
menrva white,2,,,,
xịt entacron,1,,,,
dưỡng cốt,1,,,,
xịt ivagim,1,,,,
/lọ penzima,1,,,,
xịt medoome,1,,,,
xịt imedoxim,1,,,,
"xịt zencombi (2,5mg",1,,,,
xịt osvimec,1,,,,
/lọ azipowder,1,,,,
/lọ dung dịch xịt mũi sterimar nose hygiene and comfort,1,,,,
zinnat suspension,1,,,,
xịt melopower,1,,,,
xịt fezidat,1,,,,
xịt dialamic,1,,,,
xịt desbebe,1,,,,
imdur,1,,,,
broncho-vaxom adults,1,,,,
xịt camzitol,1,,,,
xịt bioketoca,1,,,,
clenmysol tab,1,,,,
meyerzadin 4,1,,,,
mibeplen,1,,,,
midanat 100,1,,,,
misenbo,1,,,,
bifril,1,,,,
muldini,1,,,,
bifril15mg tablet 2x14's,1,,,,
casodex,1,,,,
nén sủi cefimed,1,,,,
nén sủi seractil,1,,,,
flaben,1,,,,
prusenza plus,1,,,,
caduet,1,,,,
powerforte,1,,,,
bổ tỳ dưỡng cốt thái dương,1,,,,
btozka,1,,,,
sybrava,1,,,,
coveram 10-10 tab 10-10mg 30's,1,,,,
sủi clarisol-500,1,,,,
arthroease,1,,,,
winde 25,1,,,,
foxmyzil,1,,,,
kabzu,1,,,,
kidneycap bát vị - bổ thận dương,1,,,,
alphamom,1,,,,
diovan,1,,,,
/lọ atsypax 600 (600mg,1,,,,
diclowal supp,1,,,,
sủi savimetoc,1,,,,
lifecita,1,,,,
tiffy syrup (120mg,1,,,,
atorpa - e,1,,,,
crederm ointment,1,,,,
lirystad 150,1,,,,
"lysoelf 250mg, 100mg",1,,,,
sủi vilason-50,1,,,,
giotrif,1,,,,
