drug_name,generic_name_guess,atc_code,count
creamec,creamec,,204
crederm ointment,crederm ointment,,1
crestor tab,crestor,,3
crila forte,crila,,10
cruderan,cruderan,,5
curam,curam,,848
cystin-b6 boston 500 mg,cystin-b6 boston 500 mg,,191
dacolfort,dacolfort,,3660
daiclo,daiclo,,305
dalekine,dalekine,,421
dapzin-10,dapzin-10,,94
daquetin,daquetin,,305
datviron,datviron,,40
debomin,debomin,,640
decolic,decolic,,1
decolic f,decolic f,,232
decolic-f,decolic-f,,260
delopedil,delopedil,,198
denk-air junior,denk-air junior,,82
depakine chrono,depakine chrono,,7
dermalight active illuminating cream,dermalight active illuminating cream,,4
desbebe,desbebe,,670
detanana,detanana,,6
dexibuprofen,dexibuprofen,,797
dialamic,dialamic,,380
diamicron mr,diamicron mr,,67
dicenin,dicenin,,110
diclowal supp,diclowal supp,,1
digazo,digazo,,64
diltiazem dwp,diltiazem dwp,,216
dimagel,dimagel,,4
dimonium,dimonium,,43
diosfort,diosfort,,46
diosfrot,diosfrot,,6
diovan,diovan,,1
dipatin,dipatin,,560
diquas,diquas,,53
disthyrox 100µg,disthyrox 100µg,,173
divara,divara,,32
dixirein tab,dixirein,,451
dloe,dloe,,69
dogrelsavi,dogrelsavi,,3209
"dolutegravir, lamivudine and tenofovir disoproxil fumarate tablets","dolutegravir, lamivudine and tenofovir disoproxil fumarate tablets",,15
domela,domela,,529
domuvar 2x10^9 cfu/5ml,domuvar 2x10^9 cfu/5ml,,90
dopegyt,dopegyt,,100
dorithricin,dorithricin,,162
dr max comforcare ice spray,dr max comforcare ice spray,,17
dr.pharti acne gone,dr.pharti acne gone,,53
dromasm fort,dromasm fort,,7
dropstar,dropstar,,206
drotusc,drotusc,,1066
drotusc forte,drotusc,,1499
dryches,dryches,,497
dung dịch rửa vết thương suporan,dung dịch rửa vết thương suporan,,9
dung dịch súc miệng - họng supowat,dung dịch súc miệng - họng supowat,,77
dung dịch xịt mũi sterimar allergic nose,dung dịch xịt mũi sterimar allergic nose,,14
dung dịch xịt mũi sterimar blocked nose,dung dịch xịt mũi sterimar blocked nose,,7
dung dịch xịt mũi sterimar blocked nose baby,dung dịch xịt mũi sterimar blocked nose baby,,16
dung dịch xịt mũi sterimar nose hygiene and comfort,dung dịch xịt mũi sterimar nose hygiene and comfort,,24
dung dịch xịt mũi sterimar nose hygiene baby,dung dịch xịt mũi sterimar nose hygiene baby,,8
dung dịch xịt mũi sterimar sensitive nose,dung dịch xịt mũi sterimar sensitive nose,,9
dung dịch xịt mũi xoang plasmakare x-spray,dung dịch xịt mũi xoang plasmakare x-spray,,236
duoridin,duoridin,,86
duphalac,duphalac,,158
"dutabit 0,5","dutabit 0,5",,2
dutixim,dutixim,,11
dưỡng cốt,dưỡng cốt,,1
ebifanz,ebifanz,,34
ebitac,ebitac,,46
ebitac forte,ebitac,,153
efferoxen,efferoxen,,8
effixent,effixent,,19
elaria,elaria,,1
eliquis tab,eliquis,,3
emanera,emanera,,8
emfoxim,emfoxim,,3
empagliflozin,empagliflozin,,1018
entacron,entacron,,927
enterobella 1.109 -2.109 cfu,enterobella 1.109 -2.109 cfu,,560
epilona dr,epilona,,47
esdopa-40,esdopa-40,,69
eskafolvit capsule,eskafolvit capsule,,6
eskar vita,eskar vita,,74
esojay,esojay,,23
esomeprazol,esomeprazol,,5497
