drug_name,count,generic_name,atc_code,confidence,method
caduet,1,,,,
calci -d,1,calcitriol,A11CC04,fuzzy_0.67,fuzzy_match
calci-d3,2,calcitriol,A11CC04,fuzzy_0.67,fuzzy_match
calciferat,2769,calcium and vitamin d,A12AX,high,manual_dict
calcium - nic plus 550mg + 50mg,287,calcium,A12AA,high,manual_dict
calcium hasan,415,calcium,A12AA,high,manual_dict
calcium lactate 300 tablets,157,calcium,A12AA,high,manual_dict
calcolife,27,calcifediol,A11CC06,fuzzy_0.70,fuzzy_match
caltor,81,cefaclor,J01DC04,fuzzy_0.71,fuzzy_match
calvin plus,4,,,,
camzitol,634,calcitriol,A11CC04,fuzzy_0.67,fuzzy_match
candekern,38,candesartan,C09CA06,fuzzy_0.70,fuzzy_match
candesarmac,85,candesartan,C09CA06,fuzzy_0.82,fuzzy_match
candesartan dwp,1,candesartan,C09CA06,high,manual_dict
candisafe,160,,,,
capesto,112,esomeprazole,A02BC05,high,manual_dict
capesto 40,1364,esomeprazole,A02BC05,high,manual_dict
capriles,300,cisapride,A03FA02,fuzzy_0.71,fuzzy_match
capsicin gel,1077,capsaicin,M02AB01,fuzzy_0.76,fuzzy_match
captagim,21,captodiame,N05BB02,fuzzy_0.67,fuzzy_match
captopril stella,18,captopril,C09AA01,high,manual_dict
carbamaz,84,carbamazepine,N03AF01,fuzzy_0.76,fuzzy_match
carbidopa/levodopa tablets,5,,,,
carbocistein,153,carbocisteine,R05CB03,fuzzy_0.96,fuzzy_match
carthyal one,6,,,,
cartijoints extra,59,dextran,B05AA05,fuzzy_0.83,fuzzy_match
casodex,1,,,,
cefass,14,,,,
cefcenat,236,ceftriaxone,J01DD04,high,manual_dict
cefimed,33,cefixime,J01DD08,fuzzy_0.80,fuzzy_match
cehitas,29,ichtasol,D10BX01,fuzzy_0.67,fuzzy_match
celecoxib,516,celecoxib,M01AH01,high,manual_dict
cenex cap,59,,,,
cepmaxlox,909,cefpodoxime,J01DD13,high,manual_dict
cepoxitil,4,cefoxitin,J01DC01,fuzzy_0.78,fuzzy_match
ceradan diaper,14,,,,
cetigam,1,cefotiam,J01DC07,fuzzy_0.80,fuzzy_match
cetirizin dwp,45,cetirizine,R06AE07,high,manual_dict
cezinco,704,zinc,A12CB,medium,manual_dict
cezmeta,1,acemetacin,M01AB11,fuzzy_0.71,fuzzy_match
